offense,offense_conference,pass_rate_1,avg_distance_1,cfb_pass_rate_1,cfb_distance_1,pass_vs_avg_1,distance_vs_avg_1,pass_rate_2,avg_distance_2,cfb_pass_rate_2,cfb_distance_2,pass_vs_avg_2,distance_vs_avg_2,pass_rate_3,avg_distance_3,cfb_pass_rate_3,cfb_distance_3,pass_vs_avg_3,distance_vs_avg_3,pass_rate_4,avg_distance_4,cfb_pass_rate_4,cfb_distance_4,pass_vs_avg_4,distance_vs_avg_4
Campbell,,0.45945945945946,9.86486486486486,0.424182273237249,9.89629182129398,0.0831651590552913,-0.00317562951826983,0.430232558139535,7.63953488372093,0.477410522198318,7.85425386270291,-0.0988205367605728,-0.0273379219382771,0.508196721311475,6.9016393442623,0.622215209845377,7.02600189334175,-0.183246064592725,-0.0177003295711187,0.166666666666667,3.5,0.491049830672472,3.90711175616836,-0.660591133004926,-0.104197622585438
Central Arkansas,,0.666666666666667,9.60606060606061,0.424182273237249,9.89629182129398,0.571651407256697,-0.0293272692918047,0.641509433962264,8.88679245283019,0.477410522198318,7.85425386270291,0.343727052785357,0.131462339794037,0.75,7.59375,0.622215209845377,7.02600189334175,0.205370727254286,0.0808067113099248,0,1,0.491049830672472,3.90711175616836,-1,-0.74405646359584
Central Michigan,Mid-American,0.402173913043478,9.97826086956522,0.424182273237249,9.89629182129398,-0.0518842054049273,0.00828280428178812,0.426573426573427,7.51048951048951,0.477410522198318,7.85425386270291,-0.106485075759963,-0.0437679196805465,0.523255813953488,6.95348837209302,0.622215209845377,7.02600189334175,-0.159043678659801,-0.0103207375047028,0.333333333333333,2.16666666666667,0.491049830672472,3.90711175616836,-0.321182266009852,-0.445455671124319
Charlotte,Conference USA,0.440677966101695,9.85875706214689,0.424182273237249,9.89629182129398,0.0388882183561218,-0.00379281046121958,0.412213740458015,7.77862595419847,0.477410522198318,7.85425386270291,-0.136563353149598,-0.00962891062938157,0.6,6.87368421052632,0.622215209845377,7.02600189334175,-0.0357034181965716,-0.0216791405877328,0.545454545454545,4.81818181818182,0.491049830672472,3.90711175616836,0.110792655620242,0.233182493583682
Chattanooga,,0.260869565217391,10.4782608695652,0.424182273237249,9.89629182129398,-0.385005971073466,0.0588067792240128,0.363636363636364,8.45454545454546,0.477410522198318,7.85425386270291,-0.238315146549477,0.0764288501920105,0.533333333333333,7.4,0.622215209845377,7.02600189334175,-0.142847482841397,0.0532305729966675,0.6,7.6,0.491049830672472,3.90711175616836,0.221871921182266,0.945170876671619
Cincinnati,American Athletic,0.456310679611651,9.87378640776699,0.424182273237249,9.89629182129398,0.0757419826368655,-0.00227412589820385,0.440366972477064,7.68348623853211,0.477410522198318,7.85425386270291,-0.077592654536981,-0.0217420555989054,0.526717557251908,6.61832061068702,0.622215209845377,7.02600189334175,-0.153480099943555,-0.0580246474230342,0.333333333333333,3.4,0.491049830672472,3.90711175616836,-0.321182266009852,-0.129791976225854
Clemson,ACC,0.51207729468599,9.84541062801932,0.424182273237249,9.89629182129398,0.207210501226159,-0.00514144026807836,0.593103448275862,7.63103448275862,0.477410522198318,7.85425386270291,0.24233426097275,-0.0284201890906894,0.657303370786517,6.8876404494382,0.622215209845377,7.02600189334175,0.0563923227621829,-0.0196927706544835,0.4,4.46666666666667,0.491049830672472,3.90711175616836,-0.185418719211823,0.14321446260525
Coastal Carolina,Sun Belt,0.31283422459893,9.62299465240642,0.424182273237249,9.89629182129398,-0.26250047600655,-0.0276161186253122,0.44106463878327,7.15589353612167,0.477410522198318,7.85425386270291,-0.0761312994269319,-0.0889149165266364,0.436241610738255,5.21476510067114,0.622215209845377,7.02600189334175,-0.298889509874465,-0.257790535807718,0.117647058823529,1.70588235294118,0.491049830672472,3.90711175616836,-0.760417270356418,-0.563390437898785
Colorado,Pac-12,0.263959390862944,9.65989847715736,0.424182273237249,9.89629182129398,-0.37772177783745,-0.0238870627913343,0.46,7.56,0.477410522198318,7.85425386270291,-0.0364686603850881,-0.0374642668605636,0.604166666666667,6.95833333333333,0.622215209845377,7.02600189334175,-0.0290069141562701,-0.00963116165290842,0.571428571428571,4,0.491049830672472,3.90711175616836,0.16368754398311,0.0237741456166419
Colorado State,Mountain West,0.344827586206897,10.2241379310345,0.424182273237249,9.89629182129398,-0.187076858315501,0.0331281772668701,0.415730337078652,8.67415730337079,0.477410522198318,7.85425386270291,-0.129197372600104,0.104389730074973,0.766666666666667,8.9,0.622215209845377,7.02600189334175,0.232156743415492,0.266723256712208,0.625,4,0.491049830672472,3.90711175616836,0.272783251231527,0.0237741456166419
Duke,ACC,0.442477876106195,10.0147492625369,0.424182273237249,9.89629182129398,0.0431314649933831,0.0119698815861521,0.512295081967213,8.01229508196721,0.477410522198318,7.85425386270291,0.0730703621869563,0.0201217355622768,0.609271523178808,7.06622516556291,0.622215209845377,7.02600189334175,-0.0208025880141786,0.00572491622287829,0.681818181818182,5.31818181818182,0.491049830672472,3.90711175616836,0.388490819525302,0.361154261785763
